ip,timestamp,method,endpoint,status,bytes
netport-27.iu.net,1995-07-01 04:02:01,GET,/images/MOSAIC-logosmall.gif,304,0
netport-27.iu.net,1995-07-01 04:02:01,GET,/images/USA-logosmall.gif,304,0
smyth-pc.moorecap.com,1995-07-01 04:02:02,GET,/history/apollo/images/footprint-small.gif,200,18149
netport-27.iu.net,1995-07-01 04:02:04,GET,/images/WORLD-logosmall.gif,304,0
ix-or10-06.ix.netcom.com,1995-07-01 04:02:04,GET,/software/winvn/userguide/winvnsm.gif,200,3293
dd14-046.compuserve.com,1995-07-01 04:02:05,GET,/shuttle/countdown/,200,3985
205.189.154.54,1995-07-01 04:02:11,GET,/shuttle/missions/sts-71/images/KSC-95EC-0869.gif,200,45798
port2.electrotex.com,1995-07-01 04:02:12,GET,/shuttle/countdown/video/livevideo.gif,200,70712
199.33.32.50,1995-07-01 04:02:12,GET,/shuttle/countdown/liftoff.html,200,4538
scheyer.clark.net,1995-07-01 04:02:13,GET,/shuttle/missions/sts-71/movies/sts-71-launch-3.mpg,200,130724
199.33.32.50,1995-07-01 04:02:14,GET,/images/NASA-logosmall.gif,200,786
remote27.compusmart.ab.ca,1995-07-01 04:02:14,GET,/shuttle/missions/sts-71/images/KSC-95EC-0868.gif,200,47122
ppp-nyc-3-1.ios.com,1995-07-01 04:02:15,GET,/shuttle/missions/sts-71/images/KSC-95EC-0918.gif,200,31631
smyth-pc.moorecap.com,1995-07-01 04:02:15,GET,/history/apollo/images/footprint-small.gif,200,18149
dynip42.efn.org,1995-07-01 04:02:15,GET,/software/,200,689
waters-gw.starway.net.au,1995-07-01 04:02:16,GET,/shuttle/missions/51-l/51-l-info.html,200,1387
199.33.32.50,1995-07-01 04:02:16,GET,/shuttle/countdown/video/livevideo.gif,200,62761
lmsmith.tezcat.com,1995-07-01 04:02:16,GET,/shuttle/countdown/,200,3985
dynip42.efn.org,1995-07-01 04:02:17,GET,/icons/blank.xbm,200,509
dynip42.efn.org,1995-07-01 04:02:17,GET,/icons/menu.xbm,200,527
unicomp6.unicomp.net,1995-07-01 04:02:17,GET,/facilities/lcc.html,200,2489
lmsmith.tezcat.com,1995-07-01 04:02:19,GET,/shuttle/countdown/count.gif,200,40310
lmsmith.tezcat.com,1995-07-01 04:02:20,GET,/images/NASA-logosmall.gif,200,786
unicomp6.unicomp.net,1995-07-01 04:02:20,GET,/images/ksclogosmall.gif,200,3635
unicomp6.unicomp.net,1995-07-01 04:02:21,GET,/images/kscmap-tiny.gif,200,2537
